Hour,Minute,Traffic,Sources,UDP,TCP
11,9,1502561,143231,263725,1170816
11,10,1510194,143558,253278,1188253
11,11,1503454,142444,263259,1169340
11,12,1496497,143463,264156,1158882
11,13,1530447,143349,271642,1189088
11,14,1596374,143262,271103,1256789
11,15,1592880,142920,261079,1253036
11,16,1598816,143468,266583,1254598
11,17,1560034,143338,266917,1222440
11,18,1557538,142673,267789,1215863
11,19,1500658,142507,259332,1169678
11,20,1494110,142302,259457,1165193
11,21,1511617,139873,256060,1187607
11,22,1539605,140268,252808,1215958
11,23,1454180,140726,257273,1129039
11,24,1488334,141986,261445,1160488
11,25,1479513,141089,246781,1166634
11,26,1453552,141097,239217,1148357
11,27,1438036,141154,238268,1133834
11,28,1426539,140569,243003,1117063
11,29,1452120,141281,246519,1140325
11,30,1428596,142257,241695,1123170
11,31,1440621,142954,256155,1116493
11,32,1410784,141832,253552,1088093
11,33,1410084,142083,253694,1087247
11,34,1413324,141868,252979,1091081
11,35,1443690,142629,249992,1124321
11,36,1404912,141026,243090,1095267
11,37,1468945,140980,250074,1153151
11,38,1464104,141450,252369,1146368
11,39,1470308,141825,255819,1146703
11,40,1490612,142340,261737,1159470
11,41,1493985,142579,263753,1161575
11,42,1436694,142190,259017,1109914
11,43,1432833,143074,261593,1101154
11,44,1425443,142303,257799,1099532
11,45,1454920,143428,250416,1110169
11,46,1444324,142828,251661,1096980
11,47,1457992,143612,243603,1141075
11,48,1453717,142072,236850,1147780
11,49,1481782,142589,244557,1168325
11,50,1505133,142509,237828,1197267
11,51,1512572,143187,241048,1203274
11,52,1484503,142372,241424,1176679
11,53,1514513,143304,240182,1208894
11,54,1519558,142099,233173,1220363
11,55,1492965,141918,224558,1200797
11,56,1484590,141960,235199,1181371
11,57,1484968,141933,240415,1176545
11,58,1476517,142007,231385,1177850
11,59,1463766,141703,232492,1163149
12,0,1445559,140750,222776,1154937
12,1,1509286,141324,234890,1207417
12,2,1506981,140631,231058,1208794
12,3,1470438,141148,226497,1177152
12,4,1460636,142109,237030,1157285
12,5,1429418,143412,240188,1120562
12,6,1411805,142773,236386,1106704
12,7,1601745,142631,239067,1292972
12,8,1486839,142334,243305,1175860
12,9,1414363,142339,244412,1102113
12,10,1433010,143066,249100,1115104
12,11,1425902,144098,237688,1121189
12,12,1433182,143665,251494,1114701
12,13,1432173,143784,251399,1113316
12,14,1435244,143789,239500,1130496
12,15,1454726,143627,242365,1146936
12,16,1500481,142487,238940,1197594
12,17,1477367,142357,235199,1178130
12,18,1508733,142854,244445,1197789
12,19,1493446,142061,239791,1188555
12,20,1493778,141517,250951,1171953
12,21,1483815,141552,250263,1153881
12,22,1466959,142335,244665,1157349
12,23,1517759,143564,244246,1208851
12,24,1479468,143750,247189,1166380
12,25,1546179,143059,249852,1228816
12,26,1480597,143235,244504,1169373
12,27,1491789,143612,242050,1183175
12,28,1781536,143757,249954,1464400
12,29,1479191,143223,251172,1161318
12,30,1457570,144017,241187,1149831
12,31,1455373,143794,243393,1145551
12,32,1442136,143982,245006,1132450
12,33,1466069,144509,244574,1154803
12,34,1457105,144880,245868,1144635
12,35,1475398,143310,246839,1162222
12,36,1497972,143679,238871,1192408
12,37,1484938,143364,237453,1180120
12,38,1405509,143626,238667,1100403
12,39,1459936,143273,234675,1159261
12,40,1466736,142843,221778,1180583
12,41,1487479,142695,237660,1185375
12,42,1482335,142190,223896,1192590
12,43,1542771,142959,213512,1261851
12,44,1542579,141980,230984,1245833
12,45,1437201,140929,235737,1135556
12,46,1578085,141665,242975,1269747
12,47,1454561,142208,238364,1150149
12,48,1519359,141886,240969,1211801
12,49,1534496,142621,237677,1231457
12,50,1602025,142122,238039,1298999
12,51,1483739,142397,239537,1178900
12,52,1515484,143077,237452,1212422
12,53,1513877,142291,239850,1208254
12,54,1512166,142759,234017,1214006
12,55,1532917,142638,224677,1242767
12,56,1525628,142134,226567,1232192
12,57,1477969,141467,230639,1176567
12,58,1471576,141685,236168,1167327
12,59,1488052,141447,239260,1182533
13,0,1509937,141043,241615,1202678
13,1,1566670,140745,238079,1264907
13,2,1537525,141013,234320,1240150
13,3,1518688,142056,235882,1214744
13,4,1482917,141692,238483,1174404
13,5,1446049,141587,244491,1133631
13,6,1480672,141029,235616,1175813
13,7,1480944,141864,239472,1172332
13,8,1504456,141793,246292,1187304
13,9,1452029,140872,242326,1140715
13,10,1433869,140782,236175,1129271
